Type,Từ,Phiên âm,Hán Việt,Nghĩa,Ví dụ,Phiên âm ví dụ,Nghĩa ví dụ
HSK 4,及格,jígé,Cập cách,Đạt yêu cầu,他考试及格了,Tā kǎoshì jígéle.,Anh ấy đã thi đạt yêu cầu.
HSK 4,极,jí,Cực,"Cực kỳ, vô cùng",这里的风景美极了,Zhèlǐ de fēngjǐng měi jíle.,Phong cảnh ở đây đẹp vô cùng.
HSK 4,极其,jíqí,Cực kỳ,"Vô cùng, cực kỳ",这个任务极其重要,Zhège rènwù jíqí zhòngyào.,Nhiệm vụ này vô cùng quan trọng.
HSK 4,即将,jíjiāng,Tức tương,"Sắp tới, sắp sửa",他即将出发去旅行,Tā jíjiāng chūfā qù lǚxíng.,Anh ấy sắp sửa khởi hành đi du lịch.
HSK 4,急忙,jímáng,Cấp mang,"Vội vàng, khẩn trương",他急忙赶去上班,Tā jímáng gǎn qù shàngbān.,Anh ấy vội vàng đi làm.
HSK 4,集合,jíhé,Tập hợp,"Tập hợp, tụ tập",我们在操场集合,Wǒmen zài cāochǎng jíhé.,Chúng tôi tập hợp tại sân chơi.
HSK 4,记载,jìzǎi,Ký tải,"Ghi chép, lưu giữ",历史书中记载了很多故事,Lìshǐ shū zhōng jìzǎile hěnduō gùshì.,Trong sách lịch sử ghi chép rất nhiều câu chuyện.
HSK 4,纪律,jìlǜ,Kỷ luật,Kỷ luật,我们必须遵守纪律,Wǒmen bìxū zūnshǒu jìlǜ.,Chúng ta phải tuân thủ kỷ luật.
HSK 4,技巧,jìqiǎo,Kỹ xảo,"Kỹ năng, kỹ xảo",他弹钢琴的技巧很高,Tā tán gāngqín de jìqiǎo hěn gāo.,Kỹ năng chơi piano của anh ấy rất cao.
HSK 4,系,xì,Hệ,"Hệ, mối quan hệ",这两者之间有很大的联系,Zhè liǎng zhě zhī jiān yǒu hěn dà de liánxì.,Hai điều này có mối quan hệ rất lớn.
HSK 4,季,jì,Quý,Mùa,春季是最美的季节,Chūnjì shì zuìměi de jìjié.,Mùa xuân là mùa đẹp nhất.
HSK 4,季度,jìdù,Quý độ,"Quý, 3 tháng",这是本季度的销售报告,Zhè shì běn jìdù de xiāoshòu bàogào.,Đây là báo cáo doanh số của quý này.
HSK 4,季节,jìjié,Quý tiết,"Mùa, mùa vụ",春天是我最喜欢的季节,Chūntiān shì wǒ zuì xǐhuān de jìjié.,Mùa xuân là mùa tôi thích nhất.
HSK 4,既,jì,Ký,Đã (mà còn),他既聪明又勤奋,Tā jì cōngmíng yòu qínfèn.,"Anh ấy đã thông minh, mà lại còn chăm chỉ."
HSK 4,既然,jìrán,Ký nhiên,Đã rồi (thì),既然你来了，就进去吧,"Jìrán nǐ lái le, jiù jìnqù ba.",Đã đến rồi thì vào đi.
HSK 4,寄,jì,Ký,Gửi,我给他寄了一封信,Wǒ gěi tā jìle yī fēng xìn.,Tôi đã gửi cho anh ấy một lá thư.
HSK 4,加班,jiābān,Gia ban,Làm thêm giờ,我今天要加班,Wǒ jīntiān yào jiābān.,Hôm nay tôi phải làm thêm giờ.
HSK 4,加入,jiārù,Gia nhập,"Tham gia, gia nhập",我决定加入这个团队,Wǒ juédìng jiārù zhège tuánduì.,Tôi quyết định gia nhập đội này.
HSK 4,加油站,jiāyóuzhàn,Gia du trạm,Trạm xăng,我们需要在加油站停一下,Wǒmen xūyào zài jiāyóuzhàn tíng yīxià.,Chúng ta cần dừng lại ở trạm xăng.
HSK 4,家务,jiāwù,Gia vụ,Việc nhà,每个人都应该做家务,Měi gèrén dōu yīnggāi zuò jiāwù.,Mỗi người đều nên làm việc nhà.
HSK 4,假如,jiǎrú,Giả như,"Giả sử, nếu",假如明天下雨，我们就不去,"Jiǎrú míngtiān xiàyǔ, wǒmen jiù bù qù.","Nếu ngày mai mưa, chúng ta sẽ không đi."
HSK 4,坚固,jiāngù,Kiên cố,"Kiên cố, vững chắc",这座桥非常坚固,Zhè zuò qiáo fēicháng jiāngù.,Cây cầu này rất kiên cố.
HSK 4,检测,jiǎncè,Kiểm trắc,"Kiểm tra, đo lường",我们需要检测水质,Wǒmen xūyào jiǎncè shuǐzhì.,Chúng ta cần kiểm tra chất lượng nước.
HSK 4,减,jiǎn,Giảm,"Giảm, bớt",我们应该尽量减低生产成本,Wǒmen yīnggāi jǐnliàng jiǎndī shēngchǎn chéngběn.,Chúng ta nên cố gắng giảm chi phí sản xuất.
HSK 4,减肥,jiǎnféi,Giảm phì,Giảm cân,他每天跑步减肥,Tā měitiān pǎobù jiǎnféi.,Anh ấy chạy bộ mỗi ngày để giảm cân.
HSK 4,减少,jiǎnshǎo,Giảm thiểu,Giảm bớt,我们需要减少开支,Wǒmen xūyào jiǎnshǎo kāizhī.,Chúng ta cần giảm bớt chi tiêu.
HSK 4,简历,jiǎnlì,Giản lịch,Sơ yếu lý lịch,请提供你的简历,Qǐng tígōng nǐ de jiǎnlì.,Hãy cung cấp sơ yếu lý lịch của bạn.
HSK 4,健身,jiànshēn,Kiện thân,Tập thể dục,我每天去健身房健身,Wǒ měitiān qù jiànshēnfáng jiànshēn.,Tôi đi tập thể dục ở phòng gym mỗi ngày.
HSK 4,渐渐,jiànjiàn,Tiệm tiệm,Dần dần,天气渐渐变暖了,Tiānqì jiànjiàn biàn nuǎnle.,Thời tiết dần dần ấm lên.
HSK 4,江,jiāng,Giang,"Sông, dòng sông",长江是中国最长的江,Chángjiāng shì Zhōngguó zuì cháng de jiāng.,Trường Giang là con sông dài nhất Trung Quốc.
HSK 4,讲究,jiǎngjiū,Giảng cứu,"Coi trọng, chú ý",他很讲究生活质量,Tā hěn jiǎngjiū shēnghuó zhìliàng.,Anh ấy rất coi trọng chất lượng cuộc sống.
HSK 4,讲座,jiǎngzuò,Giảng tọa,Buổi thuyết giảng,我参加了一个历史讲座,Wǒ cānjiāle yīgè lìshǐ jiǎngzuò.,Tôi đã tham gia một buổi thuyết giảng về lịch sử.
HSK 4,奖,jiǎng,Thưởng,"Giải, giải thưởng",他获得了冠军奖,Tā huòdéle guànjūn jiǎng.,Anh ấy đã giành được giải vô địch.
HSK 4,奖金,jiǎngjīn,Thưởng kim,Tiền thưởng,公司发了年终奖金,Gōngsī fāle niánzhōng jiǎngjīn.,Công ty đã phát tiền thưởng cuối năm.
HSK 4,奖学金,jiǎngxuéjīn,Thưởng học kim,Học bổng,他申请了奖学金,Tā shēnqǐngle jiǎngxuéjīn.,Anh ấy đã xin được học bổng.
HSK 4,降,jiàng,Giáng,"Hạ, giảm xuống",飞机正在降落,Fēijī zhèngzài jiàngluò.,Máy bay đang hạ cánh.
HSK 4,降低,jiàngdī,Giáng đê,"Giảm bớt, hạ thấp",我们需要降低成本,Wǒmen xūyào jiàngdī chéngběn.,Chúng ta cần giảm bớt chi phí.
HSK 4,降价,jiàngjià,Giáng giá,Giảm giá,这家店正在降价促销,Zhè jiā diàn zhèngzài jiàngjià cùxiāo.,Cửa hàng này đang giảm giá để khuyến mại.
HSK 4,降落,jiàngluò,Giáng lạc,Hạ cánh,飞机正在准备降落,Fēijī zhèngzài zhǔnbèi jiàngluò.,Máy bay đang chuẩn bị hạ cánh.
HSK 4,降温,jiàngwēn,Giáng ôn,Giảm nhiệt độ,冬天来了，天气开始降温,"Dōngtiān láile, tiānqì kāishǐ jiàngwēn.","Mùa đông đến, thời tiết bắt đầu giảm nhiệt độ."
HSK 4,交换,jiāohuàn,Giao hoán,Trao đổi,我们交换了联系方式,Wǒmen jiāohuànle liánxì fāngshì.,Chúng tôi đã trao đổi thông tin liên lạc.
HSK 4,交际,jiāojì,Giao tế,"Giao tiếp, xã giao",他很擅长交际,Tā hěn shàncháng jiāojì.,Anh ấy rất giỏi giao tiếp.
HSK 4,教授,jiàoshòu,Giáo thụ,Giáo sư,他是大学的教授,Tā shì dàxué de jiàoshòu.,Anh ấy là giáo sư đại học.
HSK 4,教训,jiàoxun,Giáo huấn,"Bài học, giáo huấn",他从失败中得到了教训,Tā cóng shībài zhōng dédàole jiàoxun.,Anh ấy đã rút ra bài học từ thất bại.
HSK 4,阶段,jiēduàn,Giai đoạn,Giai đoạn,我们正在关键阶段,Wǒmen zhèngzài guānjiàn jiēduàn.,Chúng ta đang ở giai đoạn then chốt.
HSK 4,街道,jiēdào,Nhai đạo,"Phố, đường phố",这条街道很宽,Zhè tiáo jiēdào hěn kuān.,Con phố này rất rộng.
HSK 4,节省,jiéshěng,Tiết tỉnh,Tiết kiệm,我们需要节省能源,Wǒmen xūyào jiéshěng néngyuán.,Chúng ta cần tiết kiệm năng lượng.
HSK 4,结,jié,Kết,Kết thúc,会议已经结了,Huìyì yǐjīng jiéle.,Cuộc họp đã kết thúc.
HSK 4,结构,jiégòu,Kết cấu,Cấu trúc,这座建筑的结构很复杂,Zhè zuò jiànzhù de jiégòu hěn fùzá.,Cấu trúc của tòa nhà này rất phức tạp.
HSK 4,结论,jiélùn,Kết luận,Kết luận,我们得出了一个结论,Wǒmen déchūle yīgè jiélùn.,Chúng tôi đã đưa ra một kết luận.
HSK 4,姐妹,jiěmèi,Tỷ muội,Chị em,她们是好姐妹,Tāmen shì hǎo jiěmèi.,Họ là chị em tốt.
HSK 4,解释,jiěshì,Giải thích,Giải thích,他的解释很清楚,Tā de jiěshì hěn qīngchǔ.,Lời giải thích của anh ấy rất rõ ràng.
HSK 4,尽快,jǐnkuài,Tận khoái,Càng sớm càng tốt,请尽快回复我,Qǐng jǐnkuài huífù wǒ.,Hãy trả lời tôi càng sớm càng tốt.
HSK 4,紧密,jǐnmì,Khẩn mật,"Gắn kết, khăng khít",我们之间有着紧密的合作,Wǒmen zhī jiān yǒuzhe jǐnmì de hézuò.,Chúng ta có sự hợp tác khăng khít.
HSK 4,尽力,jìnlì,Tận lực,Dốc hết sức,我会尽力帮助你,Wǒ huì jìnlì bāngzhù nǐ.,Tôi sẽ cố gắng hết sức giúp bạn.
HSK 4,进口,jìnkǒu,Nhập khẩu,Nhập khẩu,这些商品都是进口的,Zhèxiē shāngpǐn dōu shì jìnkǒu de.,Những mặt hàng này đều là hàng nhập khẩu.
HSK 4,近代,jìndài,Cận đại,Cận đại,近代史上的重要事件,Jìndài shǐ shàng de zhòngyào shìjiàn.,Sự kiện quan trọng trong lịch sử cận đại.
HSK 4,禁止,jìnzhǐ,Cấm chỉ,Cấm,这里禁止吸烟,Zhèlǐ jìnzhǐ xīyān.,Cấm hút thuốc ở đây.
HSK 4,经典,jīngdiǎn,Kinh điển,Kinh điển,这是一部经典的电影,Zhè shì yī bù jīngdiǎn de diànyǐng.,Đây là một bộ phim kinh điển.
HSK 4,精力,jīnglì,Tinh lực,"Năng lượng, tinh thần",我们需要保持精力充沛,Wǒmen xūyào bǎochí jīnglì chōngpèi.,Chúng ta cần duy trì năng lượng dồi dào.
HSK 4,竟然,jìngrán,Cánh nhiên,Thật không ngờ,他竟然没来上课,Tā jìngrán méi lái shàngkè.,Thật không ngờ anh ấy đã không đến lớp.
HSK 4,镜头,jìngtóu,Kính đầu,Ống kính,摄影师调整了镜头,Shèyǐngshī tiáozhěngle jìngtóu.,Nhiếp ảnh gia đã điều chỉnh ống kính.
HSK 4,镜子,jìngzi,Kính tử,Gương,我在镜子里看到了自己,Wǒ zài jìngzi lǐ kàndàole zìjǐ.,Tôi nhìn thấy mình trong gương.
HSK 4,究竟,jiūjìng,Cứu cánh,"Rốt cuộc, cuối cùng",他究竟是谁？,Tā jiūjìng shì shéi?,Rốt cuộc anh ấy là ai?
HSK 4,酒吧,jiǔbā,Tửu ba,Quán bar,他们常去酒吧聚会,Tāmen cháng qù jiǔbā jùhuì.,Họ thường đến quán bar để tụ tập.
HSK 4,居民,jūmín,Cư dân,Cư dân,这个社区的居民很友好,Zhège shèqū de jūmín hěn yǒuhǎo.,Cư dân trong khu này rất thân thiện.
HSK 4,居住,jūzhù,Cư trú,Cư trú,我们居住在城市里,Wǒmen jūzhù zài chéngshì lǐ.,Chúng tôi cư trú trong thành phố.
HSK 4,局,jú,Cục,"Cục, cơ quan",邮局是一个重要的公共服务局,Yóujú shì yīgè zhòngyào de gōnggòng fúwù jú.,Bưu điện là một cơ quan dịch vụ công quan trọng.
HSK 4,巨大,jùdà,Cự đại,"To lớn, khổng lồ",这家公司面临着巨大的挑战,Zhè jiā gōngsī miànlínzhe jùdà de tiǎozhàn.,Công ty này đang đối mặt với những thách thức to lớn.
HSK 4,具备,jùbèi,Cụ bị,"Có, đầy đủ",他具备领导才能,Tā jùbèi lǐngdǎo cáinéng.,Anh ấy có năng lực lãnh đạo.
HSK 4,距离,jùlí,Cự ly,"Cách, khoảng cách",我们学校距离市中心很远,Wǒmen xuéxiào jùlí shì zhōngxīn hěn yuǎn.,Trường của chúng tôi cách xa trung tâm thành phố.
HSK 4,聚,jù,Tụ,"Tụ lại, tập trung",一群鸟在树上聚成一团,Yī qún niǎo zài shù shàng jù chéng yī tuán.,Một đàn chim tụ lại thành nhóm trên cây.
HSK 4,聚会,jùhuì,Tụ hội,"Tụ họp, gặp gỡ",我们周末有一个朋友聚会,Wǒmen zhōumò yǒu yīgè péngyǒu jùhuì.,Cuối tuần chúng tôi có một buổi tụ họp bạn bè.
HSK 4,卷,juǎn,Quyển,"Cuộn, cuốn (động từ)",请把地毯卷起来,Qǐng bǎ dìtǎn juǎn qǐlái.,Hãy cuộn tấm thảm lại.
HSK 4,卷,juàn,Quyển,"Cuộn, quyển (danh từ)",这本书有三卷,Zhè běn shū yǒu sān juàn.,Quyển sách này có ba cuộn.
HSK 4,角色,juésè,Giác sắc,"Vai trò, nhân vật",他在这部电影中扮演重要角色,Tā zài zhè bù diànyǐng zhōng bànyǎn zhòngyào juésè.,Anh ấy đóng một vai trò quan trọng trong bộ phim này.
HSK 4,开花,kāihuā,Khai hoa,Nở hoa,春天来了，花园里的花开花了,"Chūntiān lái le, huāyuán lǐ de huā kāihuā le.","Mùa xuân đến, hoa trong vườn đã nở."
HSK 4,开水,kāishuǐ,Khai thủy,Nước sôi,请给我一杯开水,Qǐng gěi wǒ yībēi kāishuǐ.,Hãy cho tôi một cốc nước sôi.
HSK 4,看不起,kànbuqǐ,Khán bất khởi,Coi thường,我们不应该看不起别人,Wǒmen bù yìng gāi kànbuqǐ biérén.,Chúng ta không nên coi thường người khác.
HSK 4,看来,kànlái,Khán lai,"Xem ra, có vẻ như",看来他今天不来了,Kànlái tā jīntiān bù láile.,Xem ra hôm nay anh ấy không đến.
HSK 4,看望,kànwàng,Khán vọng,"Thăm viếng, thăm hỏi",我们去看望了他,Wǒmen qù kànwàngle tā.,Chúng tôi đã đến thăm anh ấy.
HSK 4,考察,kǎochá,Khảo sát,Khảo sát,他们去工厂考察了生产过程,Tāmen qù gōngchǎng kǎochále shēngchǎn guòchéng.,Họ đã đi khảo sát quy trình sản xuất tại nhà máy.
HSK 4,考虑,kǎolǜ,Khảo lự,"Suy nghĩ, cân nhắc",请再考虑一下这个问题,Qǐng zài kǎolǜ yīxià zhège wèntí.,Hãy suy nghĩ lại vấn đề này.
HSK 4,裸,luǒ,Khoả,"Ở trần, trần truồng",他在家里喜欢裸着,Tā zài jiālǐ xǐhuān luǒzhe.,Anh ấy thích ở trần khi ở nhà.
HSK 4,可见,kějiàn,Khả kiến,Có thể nhìn thấy,山顶可见整个城市,Shāndǐng kějiàn zhěnggè chéngshì.,Từ đỉnh núi có thể nhìn thấy toàn bộ thành phố.
HSK 4,空间,kōngjiān,Không gian,Không gian,我们需要更多的存储空间,Wǒmen xūyào gèng duō de cúnchú kōngjiān.,Chúng ta cần thêm không gian lưu trữ.
HSK 4,空,kōng,Không,Trống rỗng,这个箱子是空的,Zhège xiāngzi shì kōng de.,Cái hộp này trống rỗng.
HSK 4,口袋,kǒudài,Khẩu đại,"Túi, túi áo, túi quần",他从口袋里拿出钥匙,Tā cóng kǒudài lǐ náchū yàoshi.,Anh ấy lấy chìa khóa từ túi.
HSK 4,口语,kǒuyǔ,Khẩu ngữ,"Khẩu ngữ, văn nói",他的英语口语很好,Tā de yīngyǔ kǒuyǔ hěn hǎo.,Khả năng nói tiếng Anh (văn nói) của anh ấy rất tốt.
HSK 4,苦,kǔ,Khổ,"Đắng, khổ cực",这种药很苦,Zhè zhǒng yào hěn kǔ.,Loại thuốc này rất đắng.
HSK 4,会计,kuàijì,Hội kế,Kế toán,她是一名会计,Tā shì yī míng kuàijì.,Cô ấy là một kế toán viên.
HSK 4,快递,kuàidì,Khoái đệ,Chuyển phát nhanh,我们使用快递寄了包裹,Wǒmen shǐyòng kuàidì jìle bāoguǒ.,Chúng tôi đã gửi bưu kiện bằng dịch vụ chuyển phát nhanh.
HSK 4,宽,kuān,Khoan,Rộng rãi,这条路很宽,Zhè tiáo lù hěn kuān.,Con đường này rất rộng.
HSK 4,宽广,kuānguǎng,Khoan quảng,"Rộng lớn, bao la",这里的草原非常宽广,Zhèlǐ de cǎoyuán fēicháng kuānguǎng.,Thảo nguyên ở đây rất rộng lớn.
HSK 4,矿泉水,kuàngquánshuǐ,Khoáng tuyền thủy,Nước khoáng,这瓶矿泉水很好喝,Zhè píng kuàngquánshuǐ hěn hǎo hē.,Chai nước khoáng này rất ngon.
HSK 4,扩大,kuòdà,Khuếch đại,Mở rộng,我们需要扩大市场,Wǒmen xūyào kuòdà shìchǎng.,Chúng ta cần mở rộng thị trường.
HSK 4,扩展,kuòzhǎn,Khuếch triển,"Mở rộng, phát triển",他们计划扩展业务,Tāmen jìhuà kuòzhǎn yèwù.,Họ dự định mở rộng kinh doanh.
HSK 4,括号,kuòhào,Quát hiệu,Dấu ngoặc,这个词用括号标注,Zhège cí yòng kuòhào biāozhù.,Từ này được đánh dấu bằng dấu ngoặc.
HSK 4,垃圾,lājī,Lạp tập,Rác thải,请不要随地扔垃圾,Qǐng bùyào suídì rēng lājī.,Xin đừng vứt rác thải bừa bãi.
HSK 4,拉开,lākāi,Lạp khai,"Kéo ra, mở ra",请拉开窗帘，让阳光进来,"Qǐng lākāi chuānglián, ràng yángguāng jìnlái.",Hãy kéo rèm cửa ra cho ánh sáng vào.
HSK 4,辣,là,Lạt,Cay,这个菜很辣,Zhège cài hěn là.,Món này rất cay.
HSK 4,来不及,láibují,Lai bất cập,Không kịp,我来不及赶飞机,Wǒ láibují gǎn fēijī.,Tôi không kịp đến máy bay.
HSK 4,来得及,láidejí,Lai đắc cập,Kịp thời,你还来得及参加会议,Nǐ hái láidejí cānjiā huìyì.,Bạn vẫn kịp tham gia cuộc họp.
HSK 4,来源,láiyuán,Lai nguyên,Nguồn gốc,请注明信息的来源,Qǐng zhùmíng xìnxī de láiyuán.,Hãy ghi rõ nguồn gốc thông tin.
HSK 4,老公,lǎogōng,Lão công,Chồng,我的老公很关心我,Wǒ de lǎogōng hěn guānxīn wǒ.,Chồng tôi rất quan tâm đến tôi.
HSK 4,老家,lǎojiā,Lão gia,Quê nhà,我每年都会回老家,Wǒ měinián dūhuì huí lǎojiā.,Tôi về quê nhà mỗi năm.
HSK 4,老婆,lǎopó,Lão bà,Vợ,我的老婆喜欢购物,Wǒ de lǎopó xǐhuān gòuwù.,Vợ tôi thích mua sắm.
HSK 4,老实,lǎoshí,Lão thật,Thật thà,他是一个非常老实的人,Tā shì yīgè fēicháng lǎoshí de rén.,Anh ấy là một người rất thật thà.
HSK 4,乐趣,lèqù,Lạc thú,"Niềm vui, hứng thú",阅读是一种乐趣,Yuèdú shì yī zhǒng lèqù.,Đọc sách là một niềm vui.
HSK 4,泪,lèi,Lệ,Nước mắt,她流下了泪,Tā liúxiàle lèi.,Cô ấy đã rơi nước mắt.
HSK 4,泪水,lèishuǐ,Lệ thủy,Nước mắt,他的泪水打湿了枕头,Tā de lèishuǐ dǎshīle zhěntou.,Nước mắt của anh ấy làm ướt gối.
HSK 4,类型,lèixíng,Loại hình,"Loại hình, thể loại",这部电影属于科幻类型,Zhè bù diànyǐng shǔyú kēhuàn lèixíng.,Bộ phim này thuộc thể loại khoa học viễn tưởng.
HSK 4,冷静,lěngjìng,Lãnh tĩnh,"Bình tĩnh, điềm tĩnh",面对困难时要冷静,Miànduì kùnnán shí yào lěngjìng.,Hãy bình tĩnh khi đối mặt với khó khăn.
HSK 4,里米,lǐmǐ,Lý mễ,Mét,这条路有五百里米长,Zhè tiáo lù yǒu wǔbǎi lǐmǐ cháng.,Con đường này dài năm trăm mét.
HSK 4,离不开,líbùkāi,Ly bất khai,Không thể thiếu,我离不开我的手机,Wǒ lí bù kāi wǒ de shǒujī.,Tôi không thể thiếu điện thoại của mình.
HSK 4,力气,lìqi,Lực khí,Sức lực,搬这个箱子需要很大的力气,Bān zhège xiāngzi xūyào hěn dà de lìqi.,Di chuyển cái hộp này cần rất nhiều sức lực.
HSK 4,历史,lìshǐ,Lịch sử,Lịch sử,我喜欢研究历史,Wǒ xǐhuān yánjiū lìshǐ.,Tôi thích nghiên cứu lịch sử.
HSK 4,立即,lìjí,Lập tức,Ngay lập tức,请立即回复我的邮件,Qǐng lìjí huífù wǒ de yóujiàn.,Hãy trả lời email của tôi ngay lập tức.
HSK 4,利息,lìxī,Lợi tức,Lãi suất,银行的利息很低,Yínháng de lìxī hěn dī.,Lãi suất ngân hàng rất thấp.
HSK 4,利益,lìyì,Lợi ích,Lợi ích,我们要考虑公司的利益,Wǒmen yào kǎolǜ gōngsī de lìyì.,Chúng ta phải cân nhắc lợi ích của công ty.
HSK 4,俩,liǎ,Lưỡng,"Hai người, cả hai",他们俩是好朋友,Tāmen liǎ shì hǎo péngyǒu.,Hai người họ là bạn tốt.
HSK 4,良好,liánghǎo,Lương hảo,"Tốt, tốt đẹp",他有良好的学习习惯,Tā yǒu liánghǎo de xuéxí xíguàn.,Anh ấy có thói quen học tập tốt.
HSK 4,量,liàng,Lượng,"Lượng, số lượng",我们需要大量的资源,Wǒmen xūyào dàliàng de zīyuán.,Chúng ta cần một lượng lớn tài nguyên.
HSK 4,粮食,liángshí,Lương thực,Lương thực,今年的粮食产量很高,Jīnnián de liángshí chǎnliàng hěn gāo.,Sản lượng lương thực năm nay rất cao.
HSK 4,两边,liǎngbiān,Lưỡng biên,"Hai bên, hai phía",桥的两边种满了花,Qiáo de liǎngbiān zhòng mǎnle huā.,Hai bên cầu trồng đầy hoa.
HSK 4,疗养,liáoyǎng,Liệu dưỡng,"Điều dưỡng, dưỡng bệnh",他正在疗养院疗养,Tā zhèngzài liáoyǎngyuàn liáoyǎng.,Anh ấy đang điều dưỡng tại viện điều dưỡng.
HSK 4,了不起,liǎobuqǐ,Liễu bất khởi,"Giỏi giang, đáng nể",他真是个了不起的人,Tā zhēn shì gè liǎobuqǐ de rén.,Anh ấy thật sự là một người giỏi giang.
HSK 4,了解,liǎojiě,Liễu giải,"Hiểu biết, hiểu rõ",我了解他的想法,Wǒ liǎojiě tā de xiǎngfǎ.,Tôi hiểu rõ suy nghĩ của anh ấy.
HSK 4,列,liè,Liệt,"Hàng, dãy",他们排成了一列,Tāmen páichéngle yī liè.,Họ xếp thành một hàng.
HSK 4,列车,lièchē,Liệt xa,Đoàn tàu,列车即将到站,Lièchē jíjiāng dào zhàn.,Đoàn tàu sắp đến ga.
HSK 4,列入,lièrù,Liệt nhập,"Liệt vào, đưa vào",这个项目被列入了计划,Zhège xiàngmù bèi lièrùle jìhuà.,Dự án này đã được đưa vào kế hoạch.
HSK 4,列为,lièwéi,Liệt vi,"Liệt vào, coi như",这本书被列为必读书目,Zhè běn shū bèi lièwéi bì dú shūmù.,Cuốn sách này được coi như là sách phải đọc.
HSK 4,临时,línshí,Lâm thời,Tạm thời,他只是临时工,Tā zhǐshì línshí gōng.,Anh ấy chỉ là công nhân tạm thời.
HSK 4,零食,língshí,Linh thực,Đồ ăn vặt,小孩子喜欢吃零食,Xiǎo háizi xǐhuān chī língshí.,Trẻ con thích ăn đồ ăn vặt.
HSK 4,流传,liúchuán,Lưu truyền,"Lưu truyền, truyền lại",这个故事流传了很久,Zhège gùshì liúchuánle hěnjiǔ.,Câu chuyện này đã được lưu truyền từ rất lâu.
HSK 4,楼梯,lóutī,Lâu thê,Cầu thang,他从楼梯上摔了下来,Tā cóng lóutī shàng shuāile xiàlái.,Anh ấy ngã xuống từ cầu thang.
HSK 4,陆地,lùdì,Lục địa,"Lục địa, đất liền",船靠近了陆地,Chuán kàojìnle lùdì.,Con tàu đã tiến gần đến đất liền.
HSK 4,陆续,lùxù,Lục tục,"Lần lượt, liên tiếp",客人们陆续到达,Kèrénmen lùxù dàodá.,Các vị khách lần lượt đến nơi.
HSK 4,录取,lùqǔ,Lục thủ,"Trúng tuyển, tuyển chọn",他被大学录取了,Tā bèi dàxué lùqǔle.,Anh ấy đã trúng tuyển đại học.
HSK 4,律师,lǜshī,Luật sư,Luật sư,她是一名著名的律师,Tā shì yī míng zhùmíng de lǜshī.,Cô ấy là một luật sư nổi tiếng.
HSK 4,轮,lún,Luân,"Bánh xe, vòng",车子的轮子坏了,Chēzi de lúnzi huàile.,Bánh xe của chiếc xe bị hỏng.
HSK 4,轮船,lúnchuán,Luân thuyền,Tàu thủy,轮船缓缓驶出港口,Lúnchuán huǎnhuǎn shǐ chū gǎngkǒu.,Tàu thủy từ từ rời cảng.
HSK 4,轮椅,lúnyǐ,Luân y,Xe lăn,他需要坐轮椅,Tā xūyào zuò lúnyǐ.,Anh ấy cần phải ngồi xe lăn.
HSK 4,轮子,lúnzi,Luân tử,Bánh xe,这个轮子需要更换,Zhège lúnzi xūyào gēnghuàn.,Bánh xe này cần được thay thế.
HSK 4,论文,lùnwén,Luận văn,Luận văn,他正在写毕业论文,Tā zhèngzài xiě bìyè lùnwén.,Anh ấy đang viết luận văn tốt nghiệp.
HSK 4,落,luò,Lạc,"Rơi, ngã xuống",树叶落了下来,Shùyè luòle xiàlái.,Lá cây rơi xuống.
HSK 4,毛巾,máojīn,Mao cân,Khăn mặt,请给我一条毛巾,Qǐng gěi wǒ yītiáo máojīn.,Hãy đưa cho tôi một cái khăn mặt.
HSK 4,毛衣,máoyī,Mao y,Áo len,我冬天常穿毛衣,Wǒ dōngtiān cháng chuān máoyī.,Tôi thường mặc áo len vào mùa đông.
HSK 4,帽子,màozi,Mạo tử,Mũ,我买了一顶新帽子,Wǒ mǎile yī dǐng xīn màozi.,Tôi đã mua một cái mũ mới.
HSK 4,没错,méicuò,Một thác,"Không sai, đúng rồi",你说的没错,Nǐ shuō de méicuò.,Bạn nói không sai.
HSK 4,没法儿,méifǎr,Một pháp nhi,Không có cách nào,"事情太复杂了, 我没法儿解决","Shìqíng tài fùzále, wǒ méifǎr jiějué.","Việc quá phức tạp, tôi không có cách nào giải quyết."
HSK 4,没想到,méixiǎngdào,Một tưởng đáo,Không ngờ tới,我没想到他会来,Wǒ méixiǎngdào tā huì lái.,Tôi không ngờ tới rằng anh ấy sẽ đến.
HSK 4,美金,měijīn,Mỹ kim,Đô la Mỹ,我们需要换些美金,Wǒmen xūyào huàn xiē měijīn.,Chúng tôi cần đổi một ít đô la Mỹ.
HSK 4,美女,měinǚ,Mỹ nữ,"Mỹ nữ, cô gái đẹp",她是一位大美女,Tā shì yī wèi dà měinǚ.,Cô ấy là một đại mỹ nữ.
HSK 4,梦,mèng,Mộng,Giấc mơ,我昨晚做了个好梦,Wǒ zuó wǎn zuòle gè hǎo mèng.,Tôi đã có một giấc mơ đẹp đêm qua.
HSK 4,梦见,mèngjiàn,Mộng kiến,Mơ thấy,我梦见了小时候的朋友,Wǒ mèngjiànle xiǎoshíhòu de péngyǒu.,Tôi mơ thấy bạn thời thơ ấu.
HSK 4,梦想,mèngxiǎng,Mộng tưởng,"Mơ ước, mộng tưởng",他的梦想是当一名医生,Tā de mèngxiǎng shì dāng yī míng yīshēng.,Ước mơ của anh ấy là trở thành bác sĩ.
